,dataset,matrix,sibling_count,data_size,vocab_size,config,is_pre
83,Benign,blosum62,4030,30727,12800,0.7_3_12_0.05,False
84,Benign,blosum62,1695,30727,6400,0.8_3_12_0.005,False
85,Benign,blosum62,1139,30727,25600,0.9_3_12_0.2,False
86,Benign,blosum62,1208,30727,800,0.7_3_12_0.2,False
87,Benign,blosum62,2635,30727,25600,0.8_3_12_0.05,False
88,Benign,blosum62,784,30727,1600,0.8_3_12_0.05,False
89,Benign,blosum62,1259,30727,3200,0.8_3_12_0.005,False
90,Benign,blosum62,1018,30727,12800,0.9_3_12_0.1,False
91,Benign,blosum62,3088,30727,51200,0.8_3_12_0,False
92,Benign,blosum62,3085,30727,51200,0.8_3_12_0.005,False
93,Benign,blosum62,856,30727,6400,0.9_3_12_0.05,False
94,Benign,blosum62,548,30727,1600,0.9_3_12_0,False
95,Benign,blosum62,705,30727,3200,0.9_3_12_0.05,False
96,Benign,blosum62,529,30727,1600,0.9_3_12_0.2,False
97,Benign,blosum62,774,30727,1600,0.8_3_12_0,False
98,Benign,blosum62,3508,30727,6400,0.7_3_12_0.05,False
99,Benign,blosum62,544,30727,1600,0.9_3_12_0.1,False
100,Benign,blosum62,2209,30727,1600,0.7_3_12_0.005,False
101,Benign,blosum62,2992,30727,3200,0.7_3_12_0.05,False
102,Benign,blosum62,429,30727,800,0.8_3_12_0.05,False
103,Benign,blosum62,1286,30727,51200,0.9_3_12_0.05,False
104,Benign,blosum62,4048,30727,12800,0.7_3_12_0.005,False
105,Benign,pam250,1613,30727,800,0.8_3_12_0.05,False
106,Benign,pam250,1751,30727,3200,0.9_3_12_0,False
107,Benign,pam250,1753,30727,3200,0.9_3_12_0.005,False
108,Benign,pam250,5135,30727,51200,0.8_3_12_0.2,False
109,Benign,pam250,1289,30727,1600,0.9_3_12_0.1,False
110,Benign,pam250,2164,30727,6400,0.9_3_12_0.005,False
111,Benign,pam250,3018,30727,25600,0.9_3_12_0.05,False
112,Benign,pam250,2157,30727,6400,0.9_3_12_0,False
113,Benign,pam250,1284,30727,1600,0.9_3_12_0.2,False
114,Benign,pam250,3351,30727,3200,0.8_3_12_0,False
115,Benign,pam250,6006,30727,51200,0.8_3_12_0.005,False
116,Benign,pam250,4021,30727,6400,0.8_3_12_0,False
117,Benign,pam250,3303,30727,51200,0.9_3_12_0.1,False
118,Benign,pam250,1573,30727,800,0.8_3_12_0,False
119,Benign,pam250,1592,30727,800,0.8_3_12_0.005,False
120,Benign,pam250,3421,30727,51200,0.9_3_12_0,False
121,Benign,pam250,5952,30727,51200,0.8_3_12_0.05,False
122,Benign,pam250,769,30727,800,0.9_3_12_0,False
123,Benign,pam250,5448,30727,25600,0.8_3_12_0,False
124,Benign,pam250,3065,30727,25600,0.9_3_12_0.005,False
125,Benign,pam250,1572,30727,800,0.8_3_12_0.1,False
126,Benign,pam250,5404,30727,25600,0.8_3_12_0.05,False
127,Benign,pam250,4048,30727,6400,0.8_3_12_0.005,False
128,Benign,pam250,3386,30727,3200,0.8_3_12_0.005,False
129,Benign,pam250,6049,30727,51200,0.8_3_12_0,False
130,Benign,pam250,4044,30727,6400,0.8_3_12_0.05,False
131,Benign,pam250,3421,30727,3200,0.8_3_12_0.05,False
132,Benign,pam250,3413,30727,51200,0.9_3_12_0.005,False
133,Benign,pam250,4794,30727,25600,0.8_3_12_0.2,False
134,Benign,pam250,1273,30727,1600,0.9_3_12_0.05,False
135,Benign,pam250,3361,30727,3200,0.8_3_12_0.1,False
136,Benign,pam250,3339,30727,51200,0.9_3_12_0.05,False
137,Benign,pam250,4004,30727,6400,0.8_3_12_0.1,False
138,Benign,pam250,4702,30727,12800,0.8_3_12_0.1,False
139,Benign,pam250,779,30727,800,0.9_3_12_0.1,False
140,Benign,pam250,3669,30727,6400,0.8_3_12_0.2,False
141,Benign,pam250,2520,30727,12800,0.9_3_12_0.2,False
142,Benign,pam250,3065,30727,25600,0.9_3_12_0,False
143,Benign,pam250,3095,30727,3200,0.8_3_12_0.2,False
144,Benign,pam250,5441,30727,25600,0.8_3_12_0.005,False
145,Benign,pam250,3001,30727,25600,0.9_3_12_0.1,False
146,Benign,pam250,2158,30727,6400,0.9_3_12_0.1,False
147,Benign,pam250,1268,30727,1600,0.9_3_12_0.005,False
148,Benign,pam250,783,30727,800,0.9_3_12_0.2,False
149,Benign,pam250,1267,30727,1600,0.9_3_12_0,False
150,Benign,pam250,1728,30727,3200,0.9_3_12_0.1,False
